Customer_ID,Customer_Name,Email,Phone,Age,Gender,City,Membership_Type,Avg_Spending,Visit_Frequency,Time_Spent_Minutes,Spending_Score,Category_Preference,Offers_Used,Discount_Availed,Join_Date,Last_Purchase_Date,Fashion_Spending,Entertainment_Spending,Food_Spending,Electronics_Spending
1,zoe anderson,zoe.anderson@email.com,+1-578-796-3426,56.0,Male,San Antonio,Silver,1382.0,3,85.0,56.0,Food,No,Yes,2025-06-14,2026-06-05,552.8,552.8,2487.6,552.8
2,sophia scott,sophia.scott@email.com,+1-640-330-1685,69.0,Female,Phoenix,Silver,660.0,5,36.0,12.0,Fashion,Yes,Yes,2025-06-01,2026-05-10,1980.0,440.0,440.0,440.0
3,ella lewis,ella.lewis@email.com,+1-515-573-1653,46.0,Female,Nashville,Gold,819.0,9,94.0,48.0,Fashion,No,Yes,2026-05-25,2026-06-05,4422.6,982.8,982.8,982.8
4,harper wilson,harper.wilson@email.com,+1-566-415-5088,32.0,Male,Detroit,Gold,495.0,7,56.0,48.0,Food,No,Yes,2024-10-23,2026-04-13,462.0,462.0,2079.0,462.0
5,frank reed,frank.reed@email.com,+1-882-305-6794,60.0,Female,Chicago,Gold,256.002,5,44.0,32.0,Food,No,No,2024-12-19,2026-07-06,170.67,170.67,768.0,170.67
6,mia diaz,mia.diaz@email.com,+1-998-773-7658,25.0,Male,Jacksonville,Gold,950.0,6,57.0,76.0,Electronics,Yes,Yes,2025-06-10,2026-05-09,760.0,760.0,760.0,3420.0
7,william brown,william.brown@email.com,+1-835-967-3532,38.0,Male,San Francisco,Silver,1566.9975,4,42.0,53.0,Food,Yes,No,2025-09-02,2026-06-01,835.73,835.73,3760.8,835.73
8,mia ramirez,mia.ramirez@email.com,+1-442-366-3900,56.0,Male,Denver,Regular,826.9979999999999,5,24.0,48.0,Entertainment,Yes,No,2026-06-18,2026-04-12,551.33,2481.0,551.33,551.33
9,avery cook,avery.cook@email.com,+1-622-225-3938,36.0,Male,Phoenix,Silver,1159.002,5,23.0,52.0,Food,No,Yes,2025-11-27,2026-04-29,772.67,772.67,3477.0,772.67
10,brooklyn brown,brooklyn.brown@email.com,+1-954-540-7745,40.0,Female,Nashville,Silver,1031.0025,4,85.0,21.0,Electronics,No,No,2025-04-29,2026-06-17,549.87,549.87,549.87,2474.4
11,natalie sanchez,natalie.sanchez@email.com,+1-885-952-5065,28.0,Male,Las Vegas,Regular,2595.0,7,79.0,78.0,Entertainment,Yes,No,2026-05-17,2026-06-28,2422.0,10899.0,2422.0,2422.0
12,audrey reed,audrey.reed@email.com,+1-473-363-2771,28.0,Female,Columbus,Silver,372.9985714285714,7,68.0,72.0,Electronics,Yes,No,2025-08-22,2026-05-12,348.13,348.13,348.13,1566.6
13,lillian lewis,lillian.lewis@email.com,+1-591-239-8711,41.0,Female,Phoenix,Silver,1317.0,8,41.0,96.0,Fashion,Yes,No,2026-01-22,2026-05-24,6321.6,1404.8,1404.8,1404.8
